size;resolution;mask_size;nanoseconds
5;1280x720;3x3;23443100
5;1280x720;5x5;55891100
5;1280x720;7x7;104480900
5;1280x720;9x9;136361500
5;1280x720;11x11;191074500
5;1280x720;13x13;265560600
5;1280x720;15x15;360085100
4;640x360;3x3;4926000
4;640x360;5x5;11371200
4;640x360;7x7;21263000
4;640x360;9x9;34392900
4;640x360;11x11;50563200
4;640x360;13x13;70106700
4;640x360;15x15;92889600
3;320x180;3x3;1794600
3;320x180;5x5;3257900
3;320x180;7x7;5729400
3;320x180;9x9;8926600
3;320x180;11x11;13079800
3;320x180;13x13;17877300
3;320x180;15x15;23623700
2;160x90;3x3;1021800
2;160x90;5x5;1796000
2;160x90;7x7;3085900
2;160x90;9x9;4689100
2;160x90;11x11;6534000
2;160x90;13x13;8884300
2;160x90;15x15;11795800
1;80x45;3x3;720800
1;80x45;5x5;1223100
1;80x45;7x7;2004300
1;80x45;9x9;3004600
1;80x45;11x11;4284800
1;80x45;13x13;5731900
1;80x45;15x15;7413200
5;1280x720;3x3;17912400
5;1280x720;5x5;42879700
5;1280x720;7x7;80087400
5;1280x720;9x9;129777700
5;1280x720;11x11;191312500
5;1280x720;13x13;277775600
5;1280x720;15x15;351561600
4;640x360;3x3;4772600
4;640x360;5x5;11341900
4;640x360;7x7;21084200
4;640x360;9x9;34250400
4;640x360;11x11;50444300
4;640x360;13x13;70095500
4;640x360;15x15;93239400
3;320x180;3x3;1792200
3;320x180;5x5;3180000
3;320x180;7x7;5605500
3;320x180;9x9;8894400
3;320x180;11x11;13023600
3;320x180;13x13;17964100
3;320x180;15x15;23494000
2;160x90;3x3;1189500
2;160x90;5x5;1756900
2;160x90;7x7;3121900
2;160x90;9x9;4824600
2;160x90;11x11;6610900
2;160x90;13x13;8848500
2;160x90;15x15;11666700
1;80x45;3x3;735000
1;80x45;5x5;1359700
1;80x45;7x7;2081000
1;80x45;9x9;3000200
1;80x45;11x11;4338300
1;80x45;13x13;5863500
1;80x45;15x15;7351800
5;1280x720;3x3;18250100
5;1280x720;5x5;42951400
5;1280x720;7x7;80796200
5;1280x720;9x9;138954700
5;1280x720;11x11;191692600
5;1280x720;13x13;265439200
5;1280x720;15x15;351615200
4;640x360;3x3;5059600
4;640x360;5x5;11515800
4;640x360;7x7;21239100
4;640x360;9x9;34319700
4;640x360;11x11;50712000
4;640x360;13x13;72400500
4;640x360;15x15;97019900
3;320x180;3x3;1738300
3;320x180;5x5;3116100
3;320x180;7x7;5547900
3;320x180;9x9;8822700
3;320x180;11x11;13100600
3;320x180;13x13;17840800
3;320x180;15x15;23643400
2;160x90;3x3;1029000
2;160x90;5x5;1952400
2;160x90;7x7;2924600
2;160x90;9x9;4540300
2;160x90;11x11;6588700
2;160x90;13x13;8828000
2;160x90;15x15;11602300
1;80x45;3x3;692000
1;80x45;5x5;1352500
1;80x45;7x7;2146600
1;80x45;9x9;3039300
1;80x45;11x11;4286300
1;80x45;13x13;5700000
1;80x45;15x15;7254100
5;1280x720;3x3;17941400
5;1280x720;5x5;42703400
5;1280x720;7x7;80098600
5;1280x720;9x9;129689400
5;1280x720;11x11;191660100
5;1280x720;13x13;266695600
5;1280x720;15x15;360876400
4;640x360;3x3;4965000
4;640x360;5x5;11636800
4;640x360;7x7;21629700
4;640x360;9x9;34808500
4;640x360;11x11;50886600
4;640x360;13x13;70496900
4;640x360;15x15;93256300
3;320x180;3x3;1727900
3;320x180;5x5;3253500
3;320x180;7x7;5808000
3;320x180;9x9;8955300
3;320x180;11x11;13031700
3;320x180;13x13;17841000
3;320x180;15x15;23632800
2;160x90;3x3;1079400
2;160x90;5x5;1739500
2;160x90;7x7;3110700
2;160x90;9x9;4580400
2;160x90;11x11;6637900
2;160x90;13x13;9057200
2;160x90;15x15;11871300
1;80x45;3x3;843600
1;80x45;5x5;1292600
1;80x45;7x7;2011000
1;80x45;9x9;3038400
1;80x45;11x11;4280900
1;80x45;13x13;5788200
1;80x45;15x15;7334300
5;1280x720;3x3;17841000
5;1280x720;5x5;42741900
5;1280x720;7x7;80666800
5;1280x720;9x9;130310100
5;1280x720;11x11;192956200
5;1280x720;13x13;274625400
5;1280x720;15x15;353572900
4;640x360;3x3;5017200
4;640x360;5x5;11392500
4;640x360;7x7;21228700
4;640x360;9x9;34532700
4;640x360;11x11;50803300
4;640x360;13x13;70439800
4;640x360;15x15;93198400
3;320x180;3x3;1623800
3;320x180;5x5;3369900
3;320x180;7x7;5629800
3;320x180;9x9;8905200
3;320x180;11x11;12991100
3;320x180;13x13;17864600
3;320x180;15x15;23598100
2;160x90;3x3;1116900
2;160x90;5x5;1726600
2;160x90;7x7;2945200
2;160x90;9x9;4526200
2;160x90;11x11;6577700
2;160x90;13x13;9031300
2;160x90;15x15;11724800
1;80x45;3x3;851000
1;80x45;5x5;1291400
1;80x45;7x7;1998700
1;80x45;9x9;3124400
1;80x45;11x11;4217300
1;80x45;13x13;5693800
1;80x45;15x15;7411500
5;1280x720;3x3;18131900
5;1280x720;5x5;42943200
5;1280x720;7x7;81363700
5;1280x720;9x9;132714000
5;1280x720;11x11;192054300
5;1280x720;13x13;266463500
5;1280x720;15x15;353386600
4;640x360;3x3;4958300
4;640x360;5x5;11508200
4;640x360;7x7;21846300
4;640x360;9x9;34463100
4;640x360;11x11;52650000
4;640x360;13x13;74266600
4;640x360;15x15;93472400
3;320x180;3x3;2002100
3;320x180;5x5;3514100
3;320x180;7x7;5619000
3;320x180;9x9;8903100
3;320x180;11x11;13196300
3;320x180;13x13;17998000
3;320x180;15x15;23749600
2;160x90;3x3;1096900
2;160x90;5x5;1844000
2;160x90;7x7;3023800
2;160x90;9x9;4683900
2;160x90;11x11;6678100
2;160x90;13x13;8941800
2;160x90;15x15;11776400
1;80x45;3x3;809300
1;80x45;5x5;1308800
1;80x45;7x7;2052000
1;80x45;9x9;3095800
1;80x45;11x11;4342800
1;80x45;13x13;5702800
1;80x45;15x15;7442800
5;1280x720;3x3;18259600
5;1280x720;5x5;43962800
5;1280x720;7x7;80931100
5;1280x720;9x9;131658900
5;1280x720;11x11;193671600
5;1280x720;13x13;267241200
5;1280x720;15x15;380304700
4;640x360;3x3;5461100
4;640x360;5x5;11619100
4;640x360;7x7;21874500
4;640x360;9x9;36048400
4;640x360;11x11;52339400
4;640x360;13x13;72482100
4;640x360;15x15;94172300
3;320x180;3x3;1558200
3;320x180;5x5;3163800
3;320x180;7x7;5684900
3;320x180;9x9;9399900
3;320x180;11x11;13170500
3;320x180;13x13;18155000
3;320x180;15x15;23716700
2;160x90;3x3;1027600
2;160x90;5x5;1870500
2;160x90;7x7;3002400
2;160x90;9x9;4659600
2;160x90;11x11;6644800
2;160x90;13x13;9093500
2;160x90;15x15;11905900
1;80x45;3x3;734100
1;80x45;5x5;1299000
1;80x45;7x7;2029000
1;80x45;9x9;3115900
1;80x45;11x11;4308400
1;80x45;13x13;5866200
1;80x45;15x15;7435800
5;1280x720;3x3;18067600
5;1280x720;5x5;42617500
5;1280x720;7x7;80386700
5;1280x720;9x9;130355100
5;1280x720;11x11;199664100
5;1280x720;13x13;266269900
5;1280x720;15x15;368225100
4;640x360;3x3;5058300
4;640x360;5x5;11833300
4;640x360;7x7;21647400
4;640x360;9x9;35852500
4;640x360;11x11;53646800
4;640x360;13x13;72686100
4;640x360;15x15;96461000
3;320x180;3x3;1759800
3;320x180;5x5;3260100
3;320x180;7x7;5745200
3;320x180;9x9;8923600
3;320x180;11x11;12991300
3;320x180;13x13;18051500
3;320x180;15x15;24346400
2;160x90;3x3;1174500
2;160x90;5x5;1918900
2;160x90;7x7;3145400
2;160x90;9x9;4844000
2;160x90;11x11;6754700
2;160x90;13x13;8957000
2;160x90;15x15;11768300
1;80x45;3x3;843400
1;80x45;5x5;1251900
1;80x45;7x7;2035200
1;80x45;9x9;3038200
1;80x45;11x11;4256100
1;80x45;13x13;5701600
1;80x45;15x15;7254900
5;1280x720;3x3;18642100
5;1280x720;5x5;42955400
5;1280x720;7x7;80242900
5;1280x720;9x9;130146200
5;1280x720;11x11;192177700
5;1280x720;13x13;266919700
5;1280x720;15x15;372464700
4;640x360;3x3;5025100
4;640x360;5x5;11628300
4;640x360;7x7;22104100
4;640x360;9x9;35831400
4;640x360;11x11;57435700
4;640x360;13x13;72984300
4;640x360;15x15;96208400
3;320x180;3x3;1521300
3;320x180;5x5;3101900
3;320x180;7x7;5577200
3;320x180;9x9;8917700
3;320x180;11x11;12962000
3;320x180;13x13;18077200
3;320x180;15x15;23796700
2;160x90;3x3;1181600
2;160x90;5x5;1737400
2;160x90;7x7;2962300
2;160x90;9x9;4635600
2;160x90;11x11;6578900
2;160x90;13x13;9031200
2;160x90;15x15;11688800
1;80x45;3x3;692900
1;80x45;5x5;1276800
1;80x45;7x7;2142400
1;80x45;9x9;3050300
1;80x45;11x11;4303600
1;80x45;13x13;5921900
1;80x45;15x15;7437600
5;1280x720;3x3;18172400
5;1280x720;5x5;43084200
5;1280x720;7x7;80427300
5;1280x720;9x9;130268700
5;1280x720;11x11;192095700
5;1280x720;13x13;278413800
5;1280x720;15x15;369210000
4;640x360;3x3;5503000
4;640x360;5x5;13170600
4;640x360;7x7;22977500
4;640x360;9x9;35811600
4;640x360;11x11;53392200
4;640x360;13x13;72817700
4;640x360;15x15;100648000
3;320x180;3x3;1553800
3;320x180;5x5;3144500
3;320x180;7x7;5713400
3;320x180;9x9;9010500
3;320x180;11x11;13008100
3;320x180;13x13;18084800
3;320x180;15x15;23803500
2;160x90;3x3;2052900
2;160x90;5x5;2284700
2;160x90;7x7;2948400
2;160x90;9x9;4591500
2;160x90;11x11;7248900
2;160x90;13x13;9983400
2;160x90;15x15;11726900
1;80x45;3x3;814900
1;80x45;5x5;1405200
1;80x45;7x7;2241200
1;80x45;9x9;3249900
1;80x45;11x11;4352700
1;80x45;13x13;8848000
1;80x45;15x15;8919800
5;1280x720;3x3;19571900
5;1280x720;5x5;46810100
5;1280x720;7x7;88813200
5;1280x720;9x9;146711700
5;1280x720;11x11;201859700
5;1280x720;13x13;276257600
5;1280x720;15x15;374655600
4;640x360;3x3;5729000
4;640x360;5x5;12559300
4;640x360;7x7;22365000
4;640x360;9x9;36101200
4;640x360;11x11;53895400
4;640x360;13x13;73605800
4;640x360;15x15;96948300
3;320x180;3x3;1654900
3;320x180;5x5;3245600
3;320x180;7x7;5633000
3;320x180;9x9;8973500
3;320x180;11x11;13192800
3;320x180;13x13;18049900
3;320x180;15x15;23688800
2;160x90;3x3;1079500
2;160x90;5x5;1705800
2;160x90;7x7;3121300
2;160x90;9x9;4654500
2;160x90;11x11;6588300
2;160x90;13x13;8866600
2;160x90;15x15;11684700
1;80x45;3x3;777200
1;80x45;5x5;1298700
1;80x45;7x7;2075500
1;80x45;9x9;3068300
1;80x45;11x11;4303700
1;80x45;13x13;5896000
1;80x45;15x15;7490800
5;1280x720;3x3;18959800
5;1280x720;5x5;42945600
5;1280x720;7x7;80380000
5;1280x720;9x9;130382100
5;1280x720;11x11;192153800
5;1280x720;13x13;274649800
5;1280x720;15x15;389224700
4;640x360;3x3;7146300
4;640x360;5x5;11897800
4;640x360;7x7;23309400
4;640x360;9x9;36027400
4;640x360;11x11;53568400
4;640x360;13x13;78656600
4;640x360;15x15;97153100
3;320x180;3x3;2138400
3;320x180;5x5;3356900
3;320x180;7x7;5824300
3;320x180;9x9;9135400
3;320x180;11x11;13193800
3;320x180;13x13;18079300
3;320x180;15x15;27252400
2;160x90;3x3;1096100
2;160x90;5x5;1942500
2;160x90;7x7;3258300
2;160x90;9x9;4723100
2;160x90;11x11;6770500
2;160x90;13x13;9151600
2;160x90;15x15;12464400
1;80x45;3x3;787200
1;80x45;5x5;1339100
1;80x45;7x7;2025000
1;80x45;9x9;3066400
1;80x45;11x11;4291000
1;80x45;13x13;5840300
1;80x45;15x15;7452000
5;1280x720;3x3;19707300
5;1280x720;5x5;47622500
5;1280x720;7x7;86687600
5;1280x720;9x9;149375600
5;1280x720;11x11;206551100
5;1280x720;13x13;275451400
5;1280x720;15x15;373722400
4;640x360;3x3;5440700
4;640x360;5x5;12058100
4;640x360;7x7;22025200
4;640x360;9x9;36076900
4;640x360;11x11;52580400
4;640x360;13x13;74469600
4;640x360;15x15;95774500
3;320x180;3x3;1670800
3;320x180;5x5;3271900
3;320x180;7x7;5629400
3;320x180;9x9;8902800
3;320x180;11x11;12968300
3;320x180;13x13;18664800
3;320x180;15x15;24405800
2;160x90;3x3;1684000
2;160x90;5x5;2766200
2;160x90;7x7;3150600
2;160x90;9x9;4781600
2;160x90;11x11;6888200
2;160x90;13x13;9121600
2;160x90;15x15;11829600
1;80x45;3x3;1045500
1;80x45;5x5;1445100
1;80x45;7x7;2391500
1;80x45;9x9;3288000
1;80x45;11x11;4542700
1;80x45;13x13;5996500
1;80x45;15x15;7592700
5;1280x720;3x3;18508900
5;1280x720;5x5;45240500
5;1280x720;7x7;87327000
5;1280x720;9x9;139856600
5;1280x720;11x11;204881700
5;1280x720;13x13;287976900
5;1280x720;15x15;402815100
4;640x360;3x3;5267800
4;640x360;5x5;12592700
4;640x360;7x7;22649000
4;640x360;9x9;35633200
4;640x360;11x11;53530900
4;640x360;13x13;73029000
4;640x360;15x15;96658700
3;320x180;3x3;1773100
3;320x180;5x5;3410600
3;320x180;7x7;5946700
3;320x180;9x9;9135100
3;320x180;11x11;13286500
3;320x180;13x13;18233200
3;320x180;15x15;23991300
2;160x90;3x3;1077600
2;160x90;5x5;1709400
2;160x90;7x7;2979400
2;160x90;9x9;4742100
2;160x90;11x11;6738800
2;160x90;13x13;9060000
2;160x90;15x15;12036500
1;80x45;3x3;757800
1;80x45;5x5;1298400
1;80x45;7x7;2026000
1;80x45;9x9;3041700
1;80x45;11x11;4387200
1;80x45;13x13;5881800
1;80x45;15x15;7503300
5;1280x720;3x3;18503300
5;1280x720;5x5;43782700
5;1280x720;7x7;81204700
5;1280x720;9x9;131269500
5;1280x720;11x11;205413300
5;1280x720;13x13;282073200
5;1280x720;15x15;405590500
4;640x360;3x3;5502800
4;640x360;5x5;12389800
4;640x360;7x7;23720200
4;640x360;9x9;36409300
4;640x360;11x11;55488000
4;640x360;13x13;75105400
4;640x360;15x15;102153900
3;320x180;3x3;2342300
3;320x180;5x5;4311000
3;320x180;7x7;5928600
3;320x180;9x9;9159600
3;320x180;11x11;13384100
3;320x180;13x13;18975300
3;320x180;15x15;24927200
2;160x90;3x3;1192300
2;160x90;5x5;1979200
2;160x90;7x7;3064300
2;160x90;9x9;5097400
2;160x90;11x11;6825700
2;160x90;13x13;9371000
2;160x90;15x15;12184100
1;80x45;3x3;990500
1;80x45;5x5;1554000
1;80x45;7x7;2403400
1;80x45;9x9;3297100
1;80x45;11x11;4423600
1;80x45;13x13;5984100
1;80x45;15x15;7510700
5;1280x720;3x3;20294900
5;1280x720;5x5;44917300
5;1280x720;7x7;87415400
5;1280x720;9x9;141172100
5;1280x720;11x11;202273000
5;1280x720;13x13;289584700
5;1280x720;15x15;383591000
4;640x360;3x3;6543900
4;640x360;5x5;12809600
4;640x360;7x7;22431900
4;640x360;9x9;42700400
4;640x360;11x11;53472000
4;640x360;13x13;75593800
4;640x360;15x15;99782300
3;320x180;3x3;1746500
3;320x180;5x5;3560800
3;320x180;7x7;5926300
3;320x180;9x9;9348200
3;320x180;11x11;13404400
3;320x180;13x13;18379500
3;320x180;15x15;24816800
2;160x90;3x3;1051100
2;160x90;5x5;1945400
2;160x90;7x7;3127200
2;160x90;9x9;4786700
2;160x90;11x11;6681900
2;160x90;13x13;9168200
2;160x90;15x15;11905600
1;80x45;3x3;1155800
1;80x45;5x5;1421000
1;80x45;7x7;2496200
1;80x45;9x9;3355200
1;80x45;11x11;4400100
1;80x45;13x13;5933300
1;80x45;15x15;7841400
5;1280x720;3x3;20275100
5;1280x720;5x5;46265700
5;1280x720;7x7;89314500
5;1280x720;9x9;141733700
5;1280x720;11x11;220218000
5;1280x720;13x13;309693100
5;1280x720;15x15;383997900
4;640x360;3x3;5144800
4;640x360;5x5;11747200
4;640x360;7x7;22383800
4;640x360;9x9;36125000
4;640x360;11x11;51256900
4;640x360;13x13;71158200
4;640x360;15x15;94722800
3;320x180;3x3;1640300
3;320x180;5x5;3230700
3;320x180;7x7;5894200
3;320x180;9x9;9065000
3;320x180;11x11;13973200
3;320x180;13x13;19038900
3;320x180;15x15;23948300
2;160x90;3x3;1009900
2;160x90;5x5;1716100
2;160x90;7x7;2963700
2;160x90;9x9;4682400
2;160x90;11x11;6654200
2;160x90;13x13;9021600
2;160x90;15x15;11882700
1;80x45;3x3;837200
1;80x45;5x5;1367900
1;80x45;7x7;2120000
1;80x45;9x9;3128500
1;80x45;11x11;4333000
1;80x45;13x13;5759700
1;80x45;15x15;7467600
5;1280x720;3x3;18743900
5;1280x720;5x5;48454400
5;1280x720;7x7;81438200
5;1280x720;9x9;132114600
5;1280x720;11x11;204825500
5;1280x720;13x13;301810600
5;1280x720;15x15;402742100
4;640x360;3x3;5487400
4;640x360;5x5;11987900
4;640x360;7x7;22496700
4;640x360;9x9;35592000
4;640x360;11x11;53613400
4;640x360;13x13;73319100
4;640x360;15x15;98441500
3;320x180;3x3;2030100
3;320x180;5x5;3216400
3;320x180;7x7;5805200
3;320x180;9x9;9318900
3;320x180;11x11;13250000
3;320x180;13x13;18362700
3;320x180;15x15;24699300
2;160x90;3x3;1179000
2;160x90;5x5;1795800
2;160x90;7x7;2947900
2;160x90;9x9;4606700
2;160x90;11x11;6638900
2;160x90;13x13;9033000
2;160x90;15x15;11873200
1;80x45;3x3;880800
1;80x45;5x5;1355000
1;80x45;7x7;2289200
1;80x45;9x9;3397900
1;80x45;11x11;4345700
1;80x45;13x13;5845200
1;80x45;15x15;7409400
5;1280x720;3x3;18413400
5;1280x720;5x5;43281800
5;1280x720;7x7;83169000
5;1280x720;9x9;131630200
5;1280x720;11x11;197200500
5;1280x720;13x13;288495600
5;1280x720;15x15;395610800
4;640x360;3x3;6906300
4;640x360;5x5;12740500
4;640x360;7x7;22193100
4;640x360;9x9;39140400
4;640x360;11x11;55713600
4;640x360;13x13;84666000
4;640x360;15x15;98820300
3;320x180;3x3;2519900
3;320x180;5x5;3968700
3;320x180;7x7;7509600
3;320x180;9x9;9940300
3;320x180;11x11;13160400
3;320x180;13x13;18699600
3;320x180;15x15;24431300
2;160x90;3x3;1040700
2;160x90;5x5;1989000
2;160x90;7x7;3188100
2;160x90;9x9;4780700
2;160x90;11x11;6834800
2;160x90;13x13;9132900
2;160x90;15x15;11946400
1;80x45;3x3;1202000
1;80x45;5x5;1676700
1;80x45;7x7;2381900
1;80x45;9x9;3441300
1;80x45;11x11;4803500
1;80x45;13x13;5989500
1;80x45;15x15;7553600
5;1280x720;3x3;22117400
5;1280x720;5x5;49652000
5;1280x720;7x7;91848200
5;1280x720;9x9;141602300
5;1280x720;11x11;209077700
5;1280x720;13x13;297250400
5;1280x720;15x15;382733900
4;640x360;3x3;4925400
4;640x360;5x5;11463400
4;640x360;7x7;21657500
4;640x360;9x9;34686500
4;640x360;11x11;51227000
4;640x360;13x13;71096000
4;640x360;15x15;94463800
3;320x180;3x3;1777600
3;320x180;5x5;3151600
3;320x180;7x7;5746500
3;320x180;9x9;9244400
3;320x180;11x11;13058200
3;320x180;13x13;18290800
3;320x180;15x15;24132500
2;160x90;3x3;1139500
2;160x90;5x5;1762300
2;160x90;7x7;2990500
2;160x90;9x9;4634500
2;160x90;11x11;6779600
2;160x90;13x13;8983300
2;160x90;15x15;12097400
1;80x45;3x3;808700
1;80x45;5x5;1289000
1;80x45;7x7;2204900
1;80x45;9x9;3120900
1;80x45;11x11;4377900
1;80x45;13x13;5990000
1;80x45;15x15;7609000
5;1280x720;3x3;19093100
5;1280x720;5x5;44071500
5;1280x720;7x7;81441300
5;1280x720;9x9;133530900
5;1280x720;11x11;223648000
5;1280x720;13x13;311337300
5;1280x720;15x15;383592800
4;640x360;3x3;5481200
4;640x360;5x5;11945600
4;640x360;7x7;22043200
4;640x360;9x9;36300600
4;640x360;11x11;52542000
4;640x360;13x13;72374800
4;640x360;15x15;94929300
3;320x180;3x3;1726000
3;320x180;5x5;4519700
3;320x180;7x7;6093700
3;320x180;9x9;9374400
3;320x180;11x11;13271800
3;320x180;13x13;18215000
3;320x180;15x15;23957000
2;160x90;3x3;1291200
2;160x90;5x5;1929000
2;160x90;7x7;3061300
2;160x90;9x9;4811600
2;160x90;11x11;6799300
2;160x90;13x13;9051800
2;160x90;15x15;11921600
1;80x45;3x3;1036400
1;80x45;5x5;1408400
1;80x45;7x7;2122000
1;80x45;9x9;3106500
1;80x45;11x11;4321800
1;80x45;13x13;5865800
1;80x45;15x15;7681400
5;1280x720;3x3;18634500
5;1280x720;5x5;43605100
5;1280x720;7x7;81972800
5;1280x720;9x9;130916000
5;1280x720;11x11;193800100
5;1280x720;13x13;285039700
5;1280x720;15x15;414541900
4;640x360;3x3;6543300
4;640x360;5x5;11929300
4;640x360;7x7;23286400
4;640x360;9x9;39222900
4;640x360;11x11;58520700
4;640x360;13x13;76273500
4;640x360;15x15;101180700
3;320x180;3x3;1843800
3;320x180;5x5;3355400
3;320x180;7x7;5882000
3;320x180;9x9;9096400
3;320x180;11x11;13301100
3;320x180;13x13;18173000
3;320x180;15x15;24556500
2;160x90;3x3;1298500
2;160x90;5x5;1985500
2;160x90;7x7;3376600
2;160x90;9x9;4959700
2;160x90;11x11;6904400
2;160x90;13x13;9517100
2;160x90;15x15;12010800
1;80x45;3x3;841200
1;80x45;5x5;1414100
1;80x45;7x7;2213600
1;80x45;9x9;3105500
1;80x45;11x11;4512900
1;80x45;13x13;5925400
1;80x45;15x15;7745100
5;1280x720;3x3;18956900
5;1280x720;5x5;44634400
5;1280x720;7x7;83272500
5;1280x720;9x9;135254100
5;1280x720;11x11;203701700
5;1280x720;13x13;285554300
5;1280x720;15x15;377187800
4;640x360;3x3;5183800
4;640x360;5x5;11777100
4;640x360;7x7;22752800
4;640x360;9x9;36645400
4;640x360;11x11;54278100
4;640x360;13x13;78190700
4;640x360;15x15;101174400
3;320x180;3x3;2529200
3;320x180;5x5;3572900
3;320x180;7x7;6624800
3;320x180;9x9;10821700
3;320x180;11x11;14142400
3;320x180;13x13;18996500
3;320x180;15x15;25285100
2;160x90;3x3;1111500
2;160x90;5x5;2113300
2;160x90;7x7;3169500
2;160x90;9x9;6225100
2;160x90;11x11;6930100
2;160x90;13x13;9191300
2;160x90;15x15;12291900
1;80x45;3x3;1363500
1;80x45;5x5;1910500
1;80x45;7x7;2558400
1;80x45;9x9;3617600
1;80x45;11x11;4962000
1;80x45;13x13;5991500
1;80x45;15x15;7620500
5;1280x720;3x3;19892600
5;1280x720;5x5;49203000
5;1280x720;7x7;92818600
5;1280x720;9x9;145408500
5;1280x720;11x11;208341900
5;1280x720;13x13;293989800
5;1280x720;15x15;372086600
4;640x360;3x3;5166400
4;640x360;5x5;11867700
4;640x360;7x7;21609000
4;640x360;9x9;35173400
4;640x360;11x11;51315200
4;640x360;13x13;74041800
4;640x360;15x15;94017100
3;320x180;3x3;1783200
3;320x180;5x5;3319900
3;320x180;7x7;5759500
3;320x180;9x9;9018300
3;320x180;11x11;13106000
3;320x180;13x13;18109500
3;320x180;15x15;23908000
2;160x90;3x3;938100
2;160x90;5x5;1723200
2;160x90;7x7;3052400
2;160x90;9x9;4851600
2;160x90;11x11;6610200
2;160x90;13x13;9051400
2;160x90;15x15;11954200
1;80x45;3x3;725600
1;80x45;5x5;1373000
1;80x45;7x7;2258500
1;80x45;9x9;3100000
1;80x45;11x11;4330700
1;80x45;13x13;5901200
1;80x45;15x15;7503600
5;1280x720;3x3;18871700
5;1280x720;5x5;43433700
5;1280x720;7x7;82151600
5;1280x720;9x9;131364000
5;1280x720;11x11;206600900
5;1280x720;13x13;317699400
5;1280x720;15x15;382726300
4;640x360;3x3;5333400
4;640x360;5x5;12048900
4;640x360;7x7;21772600
4;640x360;9x9;36903800
4;640x360;11x11;53078900
4;640x360;13x13;74239400
4;640x360;15x15;96998900
3;320x180;3x3;1782500
3;320x180;5x5;3375500
3;320x180;7x7;6014400
3;320x180;9x9;9640600
3;320x180;11x11;14081000
3;320x180;13x13;18809300
3;320x180;15x15;23886200
2;160x90;3x3;939100
2;160x90;5x5;1719400
2;160x90;7x7;3161600
2;160x90;9x9;4705300
2;160x90;11x11;6723000
2;160x90;13x13;9052600
2;160x90;15x15;11757100
1;80x45;3x3;717300
1;80x45;5x5;1282800
1;80x45;7x7;2047500
1;80x45;9x9;3077500
1;80x45;11x11;4341300
1;80x45;13x13;5746200
1;80x45;15x15;7488800
5;1280x720;3x3;18233100
5;1280x720;5x5;43229300
5;1280x720;7x7;81046300
5;1280x720;9x9;135324100
5;1280x720;11x11;209124700
5;1280x720;13x13;284124800
5;1280x720;15x15;390699000
4;640x360;3x3;7085000
4;640x360;5x5;15482600
4;640x360;7x7;24329800
4;640x360;9x9;38627300
4;640x360;11x11;55025100
4;640x360;13x13;76302500
4;640x360;15x15;100619700
3;320x180;3x3;2278800
3;320x180;5x5;3818600
3;320x180;7x7;5887500
3;320x180;9x9;9189800
3;320x180;11x11;13496900
3;320x180;13x13;18427100
3;320x180;15x15;24894500
2;160x90;3x3;1587100
2;160x90;5x5;1931600
2;160x90;7x7;3414200
2;160x90;9x9;4884800
2;160x90;11x11;6910300
2;160x90;13x13;9363800
2;160x90;15x15;12116300
1;80x45;3x3;839700
1;80x45;5x5;1479800
1;80x45;7x7;2383900
1;80x45;9x9;3182800
1;80x45;11x11;4406300
1;80x45;13x13;6123600
1;80x45;15x15;7601800
5;1280x720;3x3;20962300
5;1280x720;5x5;50309900
5;1280x720;7x7;91735400
5;1280x720;9x9;147770400
5;1280x720;11x11;224398700
5;1280x720;13x13;285752400
5;1280x720;15x15;360548700
4;640x360;3x3;5005500
4;640x360;5x5;11465800
4;640x360;7x7;21349400
4;640x360;9x9;34876900
4;640x360;11x11;51110200
4;640x360;13x13;70881600
4;640x360;15x15;94060500
3;320x180;3x3;1740200
3;320x180;5x5;3384900
3;320x180;7x7;5696400
3;320x180;9x9;9087900
3;320x180;11x11;13746700
3;320x180;13x13;18908100
3;320x180;15x15;23825400
2;160x90;3x3;1832100
2;160x90;5x5;1865600
2;160x90;7x7;3006700
2;160x90;9x9;4744900
2;160x90;11x11;6761100
2;160x90;13x13;9213600
2;160x90;15x15;11951300
1;80x45;3x3;930300
1;80x45;5x5;1411300
1;80x45;7x7;2113700
1;80x45;9x9;3276300
1;80x45;11x11;4389900
1;80x45;13x13;5825500
1;80x45;15x15;7464700
5;1280x720;3x3;18679000
5;1280x720;5x5;43362200
5;1280x720;7x7;85365700
5;1280x720;9x9;141844500
5;1280x720;11x11;214355600
5;1280x720;13x13;302524400
5;1280x720;15x15;388129900
4;640x360;3x3;5583400
4;640x360;5x5;11838400
4;640x360;7x7;22011200
4;640x360;9x9;36706600
4;640x360;11x11;53915200
4;640x360;13x13;75006900
4;640x360;15x15;97498400
3;320x180;3x3;2332500
3;320x180;5x5;3333900
3;320x180;7x7;5747100
3;320x180;9x9;9159500
3;320x180;11x11;13175400
3;320x180;13x13;18077900
3;320x180;15x15;23948200
2;160x90;3x3;1158300
2;160x90;5x5;1752800
2;160x90;7x7;3018800
2;160x90;9x9;4739000
2;160x90;11x11;6728800
2;160x90;13x13;9047100
2;160x90;15x15;11875400
1;80x45;3x3;916100
1;80x45;5x5;1319300
1;80x45;7x7;2964500
1;80x45;9x9;3146200
1;80x45;11x11;4401700
1;80x45;13x13;5976300
1;80x45;15x15;7527400
5;1280x720;3x3;18213700
5;1280x720;5x5;45641400
5;1280x720;7x7;87584000
5;1280x720;9x9;140526700
5;1280x720;11x11;205179500
5;1280x720;13x13;281576700
